"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13460","TC_SR_012 — Search query appears in heading or breadcrumb","chromium","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","15581","TC_SR_007 — Result cards show name, image, and price","firefox","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","21317","TC_HN_004 — Country/store selector shows Indian stores","chromium","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","29098","TC_CF_011 — Order summary reflects delivery charge","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","28951","TC_AU_018 — Saved addresses page loads and allows adding","firefox","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","27570","TC_PD_009 — Store availability section shows stock info","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","11087","TC_PL_014 — Filter panel remains accessible after applying filter","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","21575","TC_HN_008 — Newsletter rejects invalid email","webkit","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
"","57321","TC_CM_017 — Continue Shopping returns to product listing","webkit","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","92364","TC_CM_013 — Badge count accurate after multiple add/remove ops","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","44779","TC_AU_019 — Concurrent session: re-login in new tab reflects in first","firefox","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","57772","TC_CM_005 — Cart subtotal equals sum of line totals","chromium","2026-05-28","passed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","13645","TC_PL_007 — Multiple filters narrow results correctly","firefox","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","15569","TC_SR_010 — Adding product from search updates cart count","firefox","2026-05-28","passed","2026-05-28","Module 3 — Search Functionality","search.spec.js","",""
"","12778","TC_PL_009 — Sort Price High to Low orders descending","chromium","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","58711","TC_CF_004 — Order total matches cart subtotal","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","45744","TC_PD_010 — Breadcrumb link navigates back to category","webkit","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","28047","TC_AU_010 — Session persists after page refresh","chromium","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","28281","TC_PD_012 — View Bag from add-to-bag navigates to cart","firefox","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","25013","TC_PD_001 — Product page shows name, article number, price, description","chromium","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","49820","TC_CF_002 — Guest clicking checkout is prompted to login","firefox","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","28308","TC_CF_003 — Checkout displays cart items with correct quantities and prices","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","27288","TC_PD_005 — Out-of-stock product shows appropriate message","firefox","2026-05-28","passed","2026-05-28","Module 5 — Product Details","product-details.spec.js","",""
"","30982","TC_CF_018 — Order appears in account order history","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","90006","TC_CM_003 — Cart displays correct name, unit price, quantity, line total","webkit","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","17028","TC_PL_002 — Product count matches rendered card count","webkit","2026-05-28","passed","2026-05-28","Module 4 — Product Listing & Filters","product-listing.spec.js","",""
"","31188","TC_CF_008 — Phone number validates Indian mobile format","chromium","2026-05-28","failed","2026-05-28","Module 7 — Checkout Flow","checkout-flow.spec.js","",""
"","65523","TC_CM_003 — Cart displays correct name, unit price, quantity, line total","firefox","2026-05-28","failed","2026-05-28","Module 6 — Cart Management","cart-management.spec.js","",""
"","61018","TC_AU_019 — Concurrent session: re-login in new tab reflects in first","webkit","2026-05-28","passed","2026-05-28","Module 2 — Authentication & User Account","authentication.spec.js","",""
"","40909","TC_HN_011 — Breadcrumb on inner pages is clickable","webkit","2026-05-28","passed","2026-05-28","Module 1 — Homepage & Navigation","homepage-navigation.spec.js","",""
